System Type,Architecture,Chunking,Embedding,Database,Answer Accuracy,Retrieval Precision,Hallucination Reduction,Response Time (s)

With RAG,Naive RAG,Fixed,SentenceTransformers,FAISS,5.0,1.7,5.0,12.82
With RAG,Naive RAG,Fixed,SentenceTransformers,FAISS,5.0,5.0,5.0,13.5
With RAG,Naive RAG,Fixed,SentenceTransformers,FAISS,5.0,3.8,5.0,9.68
With RAG,Naive RAG,Fixed,SentenceTransformers,FAISS,2.5,1.0,5.0,8.7
With RAG,Naive RAG,Fixed,SentenceTransformers,FAISS,2.2,1.0,5.0,9.1
With RAG,Naive RAG,Fixed,SentenceTransformers,FAISS,3.1,3.2,5.0,9.32
With RAG,Naive RAG,Fixed,SentenceTransformers,FAISS,4.8,1.0,5.0,8.9
With RAG,Naive RAG,Fixed,SentenceTransformers,FAISS,3.9,1.0,5.0,9.21
With RAG,Naive RAG,Fixed,SentenceTransformers,FAISS,5.0,4.2,5.0,8.73
With RAG,Naive RAG,Fixed,SentenceTransformers,FAISS,5.0,1.7,5.0,9.91
With RAG,Naive RAG,Fixed,SentenceTransformers,FAISS,4.7,5.0,5.0,8.48
With RAG,Naive RAG,Fixed,SentenceTransformers,FAISS,2.5,1.7,5.0,9.5
With RAG,Naive RAG,Fixed,SentenceTransformers,FAISS,2.1,2.9,5.0,9.7
With RAG,Naive RAG,Fixed,SentenceTransformers,FAISS,1.4,1.0,5.0,8.58
With RAG,Naive RAG,Fixed,SentenceTransformers,FAISS,5.0,4.6,5.0,8.52
With RAG,Naive RAG,Fixed,SentenceTransformers,ChromaDB,5.0,2.1,5.0,10.76
With RAG,Naive RAG,Fixed,SentenceTransformers,ChromaDB,4.5,5.0,5.0,11.26
With RAG,Naive RAG,Fixed,SentenceTransformers,ChromaDB,5.0,5.0,5.0,10.67
With RAG,Naive RAG,Fixed,SentenceTransformers,ChromaDB,1.9,1.0,5.0,8.75
With RAG,Naive RAG,Fixed,SentenceTransformers,ChromaDB,5.0,5.0,5.0,10.99
With RAG,Naive RAG,Fixed,SentenceTransformers,ChromaDB,2.5,2.5,5.0,10.0
With RAG,Naive RAG,Fixed,SentenceTransformers,ChromaDB,4.6,1.0,5.0,10.55
With RAG,Naive RAG,Fixed,SentenceTransformers,ChromaDB,3.1,1.2,5.0,8.35
